product_id,product,segment_id,segment,buyer_type,universe,wtp_ceiling_usd,icp_fit,problem_intensity,price_fit,readiness,analog_success,distribution_fit,switching_ease,competition_ease,S,raw_model_p,analog_rate,analog_coverage,analog_names,P_adopt,expected_adopters,confidence
NOTE_VOICE_STUDENT,Voice notes for students,HK_STUDENT_16_24,HK students 16–24,b2c,380000,8.0,0.92,0.86,0.8312499999999999,0.72,0.6548288414014038,1.0,0.75,0.52,0.829936,0.471464,0.14406234510830884,1.0,"Notability, GoodNotes, Notion",0.194968,74087.89,0.95
NOTE_VOICE_STUDENT,Voice notes for students,HK_YOUNG_PRO_25_34,HK young professionals 25–34,b2c,920000,15.0,0.55,0.48,1.0,0.55,0.6548288414014038,1.0,0.75,0.52,0.672586,0.315369,0.14406234510830884,1.0,"Notability, GoodNotes, Notion",0.221150,203458.23,0.91
NOTE_VOICE_STUDENT,Voice notes for students,HK_FAMILY_SME,HK family-owned SMEs,b2b,280000,40.0,0.08,0.1,1.0,0.18,0.6548610440795505,0.45,0.75,0.52,0.380989,0.119219,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.030302,8484.49,0.816
NOTE_VOICE_STUDENT,Voice notes for students,HK_MIDMARKET,HK mid-market firms 50–499 staff,b2b,18000,250.0,0.08,0.12,1.0,0.42,0.6548610440795505,0.15,0.75,0.52,0.377389,0.117640,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.029939,538.90,0.816
NOTE_VOICE_STUDENT,Voice notes for students,APAC_CONSULTING,APAC consulting / professional services,b2b,4200,800.0,0.08,0.15,1.0,0.7,0.6548610440795505,0.15,0.75,0.52,0.416389,0.135736,0.1440694296975011,1.0,"Notability, GoodNotes, Notion",0.034101,143.22,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_STUDENT_16_24,HK students 16–24,b2c,380000,8.0,0.08,0.05,0.02,0.88,0.5509972654503855,0.15,0.35,0.76,0.263680,0.076382,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.008000,3040.00,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_YOUNG_PRO_25_34,HK young professionals 25–34,b2c,920000,15.0,0.08,0.18,0.02,0.8,0.5509972654503855,0.15,0.35,0.76,0.277480,0.080573,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.008000,7360.00,0.816
CORP_VOICE_AGENT,Corporate voice agent,HK_FAMILY_SME,HK family-owned SMEs,b2b,280000,40.0,0.22,0.2,0.02,0.28,0.5509972654503855,0.45,0.35,0.76,0.288280,0.083998,0.12121939839908481,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.026633,7457.10,0.844
CORP_VOICE_AGENT,Corporate voice agent,HK_MIDMARKET,HK mid-market firms 50–499 staff,b2b,18000,250.0,0.62,0.58,0.044000000000000046,0.55,0.5513676210419529,1.0,0.35,0.76,0.553989,0.218702,0.12130087662922964,1.0,"Intercom Fin, Aircall, Einstein / Agentforce",0.070349,1266.28,0.924
CORP_VOICE_AGENT,Corporate voice agent,APAC_CONSULTING,APAC consulting / professional services,b2b,4200,800.0,0.9,0.8,1.0,0.84,0.5483402064467247,1.0,0.35,0.76,0.810067,0.450731,0.12063484541827942,1.0,"Einstein / Agentforce, Microsoft 365 Copilot, Intercom Fin",0.153644,645.31,0.95
